
54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.3125;[70];[-65.91289188037746];[39.11624340593427]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.5625;[70];[-60.00350945032194];[40.44550457290586]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;77.8125;[70];[-53.24326422229524];[44.748398153817526]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.0625;[70];[-44.24745727647173];[53.82052554186512]

54.0;78.3125;[70];[-29.528706593431163];[73.21639068713688]

54.0;78.5625;[70];[5.146667940746152];[126.79383739686418]

54.0;78.8125;[70];[296.5704254900945];[615.3356949963445]

54.0;78.8125;[70];[296.5704254900945];[615.3356949963445]

54.0;78.8125;[70];[296.5704254900945];[615.3356949963445]

54.0;78.8125;[70];[296.5704254900945];[615.3356949963445]

54.0;78.8125;[70];[296.5704254900945];[615.3356949963445]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.0625;[70];[-188.57076554211227];[-211.07720869271387]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.3125;[70];[-115.60818795081943];[-92.54311779904583]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.25;[70];[-124.95401827293637];[-107.09482238376368]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.0;79.1875;[70];[-137.84709563849788];[-127.66822596915081]

54.125;79.1875;[70];[-99.92149505556961];[-108.94452480699587]

54.125;79.1875;[70];[-99.92149505556961];[-108.94452480699587]

54.125;79.1875;[70];[-99.92149505556961];[-108.94452480699587]

54.125;79.1875;[70];[-99.92149505556961];[-108.94452480699587]

54.125;78.875;[70];[-186.33488040218288];[-372.63460767618915]

54.125;78.875;[70];[-186.33488040218288];[-372.63460767618915]

54.125;78.875;[70];[-186.33488040218288];[-372.63460767618915]

54.125;78.875;[70];[-186.33488040218288];[-372.63460767618915]

54.25;78.875;[70];[-93.47687409098977];[-212.16194148528942]

54.375;78.875;[70];[-63.04355999224961];[-157.86846655302588]

54.375;78.875;[70];[-63.04355999224961];[-157.86846655302588]

54.375;78.875;[70];[-63.04355999224961];[-157.86846655302588]

54.375;78.875;[70];[-63.04355999224961];[-157.86846655302588]

54.375;78.875;[70];[-63.04355999224961];[-157.86846655302588]

54.375;78.4375;[70];[-112.47375857885227];[907.0662840852777]

54.5;78.4375;[70];[116.53640124764938];[-1013.1547050500183]

54.5;78.4375;[70];[116.53640124764938];[-1013.1547050500183]

54.5;78.0;[70];[-97.95254004314292];[169.22788854057097]

54.625;78.0;[70];[-144.7946146564876];[264.3554056889857]

54.625;78.0;[70];[-144.7946146564876];[264.3554056889857]

54.625;78.0;[70];[-144.7946146564876];[264.3554056889857]

54.625;78.0;[70];[-144.7946146564876];[264.3554056889857]

54.625;78.0;[70];[-144.7946146564876];[264.3554056889857]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;78.0;[70];[-286.0516908357148];[542.1571565503958]

54.75;77.5;[70];[-103.00694723171699];[116.36652365510872]

54.875;77.5;[70];[-125.64913748595512];[144.9417272032117]

54.875;77.5;[70];[-125.64913748595512];[144.9417272032117]

54.875;77.5;[70];[-125.64913748595512];[144.9417272032117]

54.875;77.5;[70];[-125.64913748595512];[144.9417272032117]

54.875;77.5;[70];[-125.64913748595512];[144.9417272032117]

54.875;76.9375;[70];[-80.04124466707566];[79.6576655986011]

55.0;76.9375;[70];[-86.72612667448645];[86.74798278749508]

55.0;76.9375;[70];[-86.72612667448645];[86.74798278749508]

55.0;76.9375;[70];[-86.72612667448645];[86.74798278749508]

55.0;76.9375;[70];[-86.72612667448645];[86.74798278749508]

55.0;76.9375;[70];[-86.72612667448645];[86.74798278749508]

55.0;76.375;[70];[-58.149952984792];[70.15313051523758]

55.0;76.375;[70];[-58.149952984792];[70.15313051523758]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;76.375;[70];[-59.125796075125116];[70.57703767632032]

55.125;75.8125;[70];[-30.19661022528885];[74.20701476219995]

55.25;75.8125;[70];[-29.0284722576821];[69.46170784527538]

55.25;75.8125;[70];[-29.0284722576821];[69.46170784527538]

55.25;75.8125;[70];[-29.0284722576821];[69.46170784527538]

55.25;75.8125;[70];[-29.0284722576821];[69.46170784527538]

55.25;75.8125;[70];[-29.0284722576821];[69.46170784527538]

